product,field,platform,location,homepage,establish_time,round,project_status,status,tags,description,contact,leadership,logo_url,url,company_name,brief_intro
量化派,生活消费,平台：WEB,坐标：北京市,官网：www.kinance.com,成立时间：不详,"C轮,5亿,人民币,融资完成",立即认领,运营状态：正在运营,互联网大数据财务税务,量化派(QuantGroup)是一家金融大数据公司。公司于2014年2月由华尔街海归与互联网精英联合创办，成立前已获数百万天使投资，9月再次获一线VC几千万元A轮投资。公司主营业务是通过基于机器学习和互联网化的风险定价，整合互联网及传统数据源，运用欧美成熟的量化方法及金融经验，帮助个人及小微企业证明经济财务等状况，从而快速获得低成本贷款，实现低息快速融资的大众普惠金融。,,,http://pic.pedaily.cn/newseed/project/20150724/20150724103812481.jpg,http://www.newseed.cn/project/21675,北京量科邦信息技术有限公司,北京量科邦信息技术有限公司成立于2014年，注册资本110.00万元人民币，旗下主打产品量化派（Quant Group）是一家金融大数据公司。
磨铁图书,文化娱乐,平台：其他,坐标：北京市,官网：不详,成立时间：不详,C轮,立即认领,运营状态：正在运营,互联网,磨铁图书致力于生产大众阅读类，是中国最具影响力的大众类民营图书公司。秉承“跟文化死磕”的企业精神，2011年磨铁图书年度发行规模达到8亿码洋，缴纳税款3548万元。,,,http://pic2.pedaily.cn/17/newseed/project/201707/20170706163052387.jpg,http://www.newseed.cn/project/20117,北京磨铁数盟信息技术有限公司,磨铁中文网是北京磨铁数盟信息技术有限公司旗下的社交化阅读平台群。磨铁中文网平台群包含面向PC网站 www.motie.com、移动互联网motie.cn、及面向APP市场的客户端。
懂球帝,游戏体育,平台：WEB,坐标：北京市,官网：www.dongqiudi.com,成立时间：2013-09,"C轮,3.5亿,人民币,融资完成",约谈,运营状态：正在运营,体育培训体育设施/场馆,懂球帝是一个专注于足球的体育资讯和社区，旗下有懂球帝APP等。北京多格科技有限公司旗下产品。,光明与温暖,光明与温暖合伙人,http://pic2.pedaily.cn/newseed/project/201609/20160908160044778.jpg,http://www.newseed.cn/project/39872,北京多格科技有限公司,懂球帝是一个专注于足球的体育资讯和社区，旗下有懂球帝APP等。北京多格科技有限公司旗下产品。
Showpad,信息技术,平台：WEB,坐标：比利时,官网：www.showpad.com,成立时间：不详,"C轮,5000万,美元,融资完成",立即认领,运营状态：正在运营,办公软件,Showpad是一家位于总部位于比利时的基于云端的SaaS移动销售办公应用，曾被誉为比利时成长最快的科技公司，公司在旧金山和伦敦都设有办事处。,,,http://pic2.pedaily.cn/newseed/project/201605/20160520154140980.jpg,http://www.newseed.cn/project/50866,Showpad,Showpad 是一家位于总部位于比利时的基于云端的 SaaS 移动销售办公应用，曾被誉为比利时成长最快的科技公司，公司在旧金山和伦敦都设有办事处。
Carbon3D,硬件,平台：WEB,坐标：美国,官网：carbon3d.com,成立时间：2013-06,"C轮,1亿,美元,融资完成",立即认领,运营状态：正在运营,VR/AR,Carbon3D是一家3D打印初创企业，其独有的CLIP（连续液面生长）打印技术可以比传统的叠层3D打印方法快25到100倍，从而令3D打印的量产成为可能。,,,http://pic.pedaily.cn/newseed/projectlogo/201508/20150821@235057.jpg,http://www.newseed.cn/project/44044,Carbon3D,Carbon3D是一家3D 打印初创企业，其独有的CLIP（连续液面生长）打印技术可以比传统的叠层 3D 打印方法快 25 到 100 倍，从而令 3D 打印的量产成为可能。
大数金融,房产金融,平台：WEB,坐标：深圳市,官网：www.dashuf.com,成立时间：2014-07,"C轮,8亿,人民币,融资完成",立即认领,运营状态：正在运营,,大数金融是一家信贷外包服务提供商，专注于为小微企业提供无担保纯信用形式的贷款融资服务，隶属于深圳前海大数金融服务有限公司。,,,http://newseed.pedaily.cn/Upload/project/201512/20151215092211473.jpg,http://www.newseed.cn/project/46292,深圳前海大数金融服务有限公司,大数金融，全称深圳前海大数金融服务有限公司，由“红杉资本”投资创立，是红杉资本在中国首轮投资金额最大的公司之一。公司于2014年8月在深圳前海注册成立，注册及实收资本1.11亿。大数金融，定位于全国性的信贷工厂，为银行、信托、财富管理公司、私募基金、P2P等机构提供全流程或部分流程的信贷外包服务。
Craftsvilla,生活消费,平台：WEB,坐标：印度,官网：www.craftsvilla.com,成立时间：2011-01,"C轮,3400万,美元,融资完成",立即认领,运营状态：正在运营,电子商务,Craftsvilla是一个手工工艺品电商。,,,http://pic.pedaily.cn/newseed/project/20151118/20151118173111385.jpg,http://www.newseed.cn/project/47000,Craftsvilla,Craftsvilla是一个手工工艺品电商。
赤子城,信息技术,平台：WEB,坐标：北京市,官网：newborn-town.com,成立时间：2009-09,"C轮,金额未透露,融资完成",立即认领,运营状态：正在运营,广告营销游戏硬件国内游移动互联网互联网大数据电子商务行业及技术解决方案,赤子城是专注于全球化市场的移动互联网入口公司，现已成长为2014到2015年全球范围内增长最快的公司之一，被评为中国互联网出海领域的标杆公司。Solo桌面是海外排名最高的第三方桌面产品，根据AppAnnie排名显示，其在全球超过100个国家排名第一。Solo桌面连同Solo搜索、Solo锁屏、Solo应用锁、Solo推荐、Solo消息等在内的整个Solo系统，累计用户已达2.2亿。,,,http://pic.pedaily.cn/newseed/project/20151124/20151124091712652.jpg,http://www.newseed.cn/project/45155,赤子城网络技术（北京）有限公司,赤子城是专注于全球化市场的移动互联网入口公司，现已成长为2014到2015年全球范围内增长最快的公司之一，被评为中国互联网出海领域的标杆公司。Solo桌面是海外排名最高的第三方桌面产品，根据AppAnnie排名显示，其在全球超过100个国家排名第一。Solo桌面连同Solo搜索、Solo锁屏、Solo应用锁、Solo推荐、Solo消息等在内的整个Solo系统，累计用户已达2.2亿。
大朋VR,硬件,平台：WEB,坐标：上海市,官网：www.deepoon.com,成立时间：2015-04,"C轮,金额未透露,融资完成",立即认领,运营状态：正在运营,VR/AR,大朋VR是一家主打VR虚拟现实的科技公司，专注于虚拟现实头戴显示产品的开发和虚拟现实内容平台的建设。隶属于上海乐相科技有限公司。,,,http://pic.pedaily.cn/newseed/project/201512/20151225203550838.jpg,http://www.newseed.cn/project/47905,上海乐相科技有限公司,大朋VR是一家主打VR虚拟现实的科技公司，专注于虚拟现实头戴显示产品的开发和虚拟现实内容平台的建设
Faceu,社交,平台：移动应用,坐标：深圳市,官网：faceu.mobi,成立时间：不详,"C轮,5000万,美元,融资完成",立即认领,运营状态：正在运营,视频图像视频,Faceu是一个脸萌团队推出的一款新照片社交APP，除了可以拍摄短视频和照片，还可以实时的在照片的人脸上叠加具有动态效果的贴图和道具。,,,http://pic.pedaily.cn/newseed/projectlogo/201601/20160118@153726.jpg,http://www.newseed.cn/project/48277,深圳市脸萌科技有限公司,脸萌科技的技术骨干有来自腾讯的微信团队、搜搜&腾讯云团队、YY等，设计团队有炒鸡有才华的漫画家，华为的视觉设计师等。
Avelas Biosciences,医疗健康,平台：WEB,坐标：美国,官网：www.avelasbio.com,成立时间：不详,"C轮,2000万,美元,融资完成",立即认领,运营状态：正在运营,生物技术,AvelasBiosciences总部位于加利福尼亚州，致力于临床阶段的癌症检测生物制剂的研发工作，希望能够利用可激活细胞穿透肽（ACPPs）专有技术平台来改善癌症的治疗效果。,,,http://pic2.pedaily.cn/newseed/project/201608/20160822104841476.jpg,http://www.newseed.cn/project/53294,Avelas Biosciences,Avelas Biosciences总部位于加利福尼亚州，致力于临床阶段的癌症检测生物制剂的研发工作，希望能够利用可激活细胞穿透肽（ACPPs）专有技术平台来改善癌症的治疗效果。
LendUp,房产金融,平台：WEB,坐标：美国,官网：www.lendup.com,成立时间：2011,"C轮,4750万,美元,融资完成",立即认领,运营状态：正在运营,消费金融VR/AR金融科技,金融科技初创公司LendUp成立于2011年，致力于帮助人们获得更高效、实惠的金融贷款服务。LendUp公司推出了一款全新的信用产品，名为LCard，它不仅没有各种不合理地隐藏收费项目，而且还为消费者提供了更灵活的还款服务。,,,http://pic2.pedaily.cn/newseed/project/201608/20160823162518292.jpg,http://www.newseed.cn/project/53365,LendUp,金融科技初创公司LendUp成立于2011年，致力于帮助人们获得更高效、实惠的金融贷款服务。LendUp 公司推出了一款全新的信用产品，名为L Card，它不仅没有各种不合理地隐藏收费项目，而且还为消费者提供了更灵活的还款服务。
雷蛇（Razer）,游戏体育,平台：WEB,坐标：圣地亚哥,官网：cn.razerzone.com,成立时间：1998,"C轮,7500万,美元,融资完成",立即认领,运营状态：正在运营,VR/AR游戏硬件,,,,http://pic.pedaily.cn/newseed/project/201602/20160224170729856.jpg,http://www.newseed.cn/project/48786,雷蛇（Razer）,"雷蛇（Razer）是全球顶级游戏外设品牌之一，1998年由CEO Min-Liang Tan和Robert ""Razerguy"" Krakoff创立于美国加州圣地亚哥。在上世纪 90 年代中叶，随着网络游戏和竞技型第一人称射击 (FPS) 游戏的兴起，游戏玩家发现传统外围设备在游戏中使用起来缚手掣肘、心余力绌，不能快马加鞭、游刃有余。雷蛇正是抓住这一机遇，不断巩固自己在技术、设计和人体工程学方面的优势，最终成为专业竞技设备的代名词。"
Skyport,信息技术,平台：其他,坐标：美国,官网：www.skyport.com,成立时间：2013,"C轮,3000万,美元,融资完成",立即认领,运营状态：正在运营,,Skyport为该公司主打产品，是一款由客户在云端远程管理数据和应用的服务器，客户的应用程序在这个服务器上运行，操作网络的唯一渠道是Skyport自有的I/O控制器。,,,http://pic2.pedaily.cn/newseed/project/201603/20160316152412201.jpg,http://www.newseed.cn/project/49208,Skyport Systems,Skyport Systems 是一家致力于为企业的数据和应用提供安全服务的公司，通过让企业在一个内嵌了安全功能的固化装置中运行服务，来达到保障企业信息安全的目的。
太美医疗,医疗健康,平台：移动应用,坐标：嘉兴市,官网：不详,成立时间：不详,"C轮,1亿,人民币,融资完成",立即认领,运营状态：正在运营,医药VR/AR,太美医疗创立于2013年，是国内领先的医药行业SaaS服务提供商，主要产品涵盖临床研究、药物警戒等领域。2014年，太美医疗获得天使轮投资。,,,http://pic.pedaily.cn/newseed/project/201602/20160216125303632.jpg,http://www.newseed.cn/project/48652,嘉兴太美医疗科技有限公司,嘉兴太美医疗科技有限公司致力于现代信息技术在医疗领域的应用。
财新传媒,企业服务,平台：WEB,坐标：北京市,官网：www.caixin.com,成立时间：不详,"C轮,金额未透露,融资完成",立即认领,运营状态：不详,视频媒体图像视频,财新传媒是一家提供财经新闻及资讯服务的全媒体集团，旗下拥有包括网站、期刊、视频、图书、会议等多层次的业务平台。,,,http://pic.pedaily.cn/newseed/projectlogo/201603/20160303@093848.jpg,http://www.newseed.cn/project/48952,N/A,
Stratoscale,信息技术,平台：硬件,坐标：以色列,官网：www.stratoscale.com,成立时间：不详,"C轮,2700万,美元,融资完成",立即认领,运营状态：正在运营,游戏硬件办公软件,Stratoscale是一家以色列的数据中心软件初创公司。因其产品Symphony而出名，Symphony是一个无硬件的超聚合软件层，用来管理批量的x86服务器。,,,http://pic2.pedaily.cn/newseed/project/201603/20160325132712775.jpg,http://www.newseed.cn/project/49366,Stratoscale,Stratoscale 是以色列一家数据中心软件初创公司。
坚果智能影院,硬件,平台：硬件,坐标：深圳市,官网：www.jmgo.com,成立时间：2012-01,"C轮,6亿,人民币,融资完成",约谈,运营状态：正在运营,兴趣社区电子商务,坚果智能家庭影院汇聚海量电影、电视剧和综艺娱乐等内容，影音即点即播。建立了基于用户兴趣的社会化电商平台和社区。,赵金晓,赵金晓员工,http://pic2.pedaily.cn/newseed/project/201603/20160316133639825.jpg,http://www.newseed.cn/project/49202,深圳市火乐科技发展有限公司,深圳市火乐科技发展有限公司位于世界级研发基地深圳南山区科兴科学园。它成立于2011年，是一家专业从事智能投影设备研发及生产的高科技公司，拥有优秀的软硬件技术研发团队，专注于打造行业首个“终端+内容+平台+软件”于一体的智能家庭影院生态圈。
Beamr,硬件,"平台：WEB,硬件",坐标：以色列,官网：beamr.com,成立时间：2009,"C轮,1500万,美元,融资完成",立即认领,运营状态：正在运营,视频图像视频,Beamr是一家视频优化初创公司。Beamr在视频优化领域表现出色，拥有一支图像科学家团队，保持了视频高质量同时大大减小了其占用的空间。Beamr致力于图片和视频分享过程中的质量、速度和用户体验。,,,http://pic2.pedaily.cn/newseed/project/201604/20160401135748149.jpg,http://www.newseed.cn/project/49579,Beamr,Beamr 是一家视频优化初创公司。Beam在视频优化领域表现出色，拥有一支图像科学家团队，保持了视频高质量同时大大减小了其占用的空间。Beam致力于图片和视频分享过程中的质量、速度和用户体验。
驻云科技,信息技术,平台：WEB,坐标：上海市,官网：www.jiagouyun.com,成立时间：2013-04,"C轮,金额未透露,融资完成",立即认领,运营状态：正在运营,办公软件行业及技术解决方案,驻云目前能够提供各行各业大量的基于阿里云的解决方案。包括已经推出的SolutionasService的新形态的服务模式，即帮助软件厂商完成在阿里云上的部署，测试和交付。驻云将为企业用户提供阿里云相关的咨询、购买、解决方案、专业服务这四大块的内容。,,,http://pic2.pedaily.cn/newseed/project/201604/20160406143442476.jpg,http://www.newseed.cn/project/49673,上海驻云信息科技有限公司,上海驻云信息科技有限公司，是一家具有领先的公有云架构技术及咨询服务提供商，致力于为企业客户提供卓越的公有云架构技术、云解决方案、云运维服务等一站式的云入驻服务。
Persado,企业服务,平台：WEB,坐标：美国,官网：persado.com,成立时间：2012,"C轮,3000万,美元,融资完成",立即认领,运营状态：正在运营,,"Persado的认知内容平台通过激发行动生成语言。平台通过认知计算技术,消除了传统消息创建背后的随机过程。",,,http://pic2.pedaily.cn/newseed/project/201604/20160406092601928.jpg,http://www.newseed.cn/project/49658,Persado,该公司很懒，没有留下任何信息。
悦美,生活消费,平台：WEB,坐标：北京市,官网：www.yuemei.com,成立时间：不详,"C轮,8000万,人民币,融资完成",立即认领,运营状态：正在运营,O2O/本地生活医疗信息化,悦美是一个医疗美容O2O平台，为求美者提供咨询预约、在线交易等服务，集专业医生、医院认证、医患互动问答、医美资讯、悦美整形APP为一体，北京维康恒美信息技术有限公司旗下网站。,,,http://pic2.pedaily.cn/newseed/project/201604/20160421151514697.jpg,http://www.newseed.cn/project/26629,北京维康恒美信息技术有限公司,悦美网是国内早期建立的专业医美行业媒体和医患互动平台，从 2013 年 9 月开始，悦美网全面转型医美 O2O 模式，线上对接求美者，线下整合医疗机构、医生等资源，并将整形项目标准化，推出“淘整形”产品，让消费者安全有效地选择适合自己的医院和医生。
roseonly,生活消费,平台：WEB,坐标：北京市,官网：www.roseonly.com.cn,成立时间：2013-01-04,"C轮,1.9亿,人民币,融资完成",立即认领,运营状态：正在运营,,Roseonly是一个中国鲜花高端品牌及网店，隶属于北京智德创辉网络科技有限公司。,,,http://pic.pedaily.cn/newseed/project/20151019/20151019093630251.jpg,http://www.newseed.cn/project/19517,北京智德创辉网络科技有限公司,北京智德创辉网络科技有限公司旗下Roseonly专爱花店是一个鲜花高端品牌B2C网站。
Noitom诺亦腾,硬件,平台：WEB,坐标：北京市,官网：www.noitom.com,成立时间：不详,"C轮,金额未透露,融资完成",立即认领,运营状态：正在运营,,北京诺亦腾科技致力于动作姿态捕捉系统的研发，给用户提供全天候的动作姿态数字化平台，产品有trueMotion、mySwing挥杆宝等。,,,http://pic2.pedaily.cn/newseed/project/201702/20170206094107671.png,http://www.newseed.cn/project/22381,北京诺亦腾科技有限公司,北京诺亦腾科技致力于动作姿态捕捉系统的研发，给用户提供全天候的动作姿态数字化平台，产品有trueMotion、mySwing挥杆宝等。
Hopscotch,生活消费,平台：WEB,坐标：印度,官网：www.hopscotch.in,成立时间：不详,"C轮,1300万,美元,融资完成",立即认领,运营状态：正在运营,VR/AR,"Hopscotchisanonlinestoreofferinginsideraccesstotoday'stopbabyandkidsbrandsfromaroundtheworld,atunbeatableprices.",,,http://pic2.pedaily.cn/newseed/project/201603/20160325141514781.jpg,http://www.newseed.cn/project/49372,Hopscotch,"Hopscotch is an online store offering insideaccess to today's top baby and kids brands from around the world, at unbeatable prices."
微吼,企业服务,平台：WEB,坐标：北京市,官网：www.vhall.com,成立时间：不详,"C轮,2亿,人民币,融资完成",立即认领,运营状态：正在运营,视频图像视频直播,微吼是一家在线活动营销及商务活动平台，提供虚拟大会、网络视频直播服务等，隶属于北京微吼时代科技有限公司。,,,http://pic2.pedaily.cn/17/newseed/project/201704/20170420155234331.jpg,http://www.newseed.cn/project/24843,北京微吼时代科技有限公司,微吼是一家在线活动营销及商务活动平台，提供虚拟大会、网络视频直播服务等，隶属于北京微吼时代科技有限公司。
Jolla,硬件,平台：硬件,坐标：芬兰,官网：jolla.com,成立时间：2011,"C轮,1200万,美元,融资完成",立即认领,运营状态：正在运营,消费电子,JollaMobile是芬兰的一家手机公司，主要设计、生产以及销售基于MeeGo系统的智能手机。Jolla公司成立于2011年，总部位于芬兰Pirkkala，向全球范围内销售智能手机、平板电脑以及其他电子消费品。,,,http://pic2.pedaily.cn/newseed/project/201605/20160504115740513.jpg,http://www.newseed.cn/project/36475,N/A,
MemSQL,企业服务,平台：WEB,坐标：美国,官网：www.memsql.com,成立时间：不详,"C轮,3600万,美元,融资完成",立即认领,运营状态：正在运营,大数据,MemSQL是一种分布式内存数据库，可提供对大数据的实时分析功能，能同时支持SQL与JSON非结构化数据和大数据的实时分析。,,,http://pic2.pedaily.cn/newseed/project/201604/20160422135923856.jpg,http://www.newseed.cn/project/37481,MemSQL,MemSQL 是一家从事数据库平台开发的初创企业，由前 Facebook 员工 EricFrenkiel 与 Nikita Shamgunov 成立于 2012年（孵化于 YC）。MemSQL 是一种分布式内存数据库，可提供对大数据的实时分析功能，能同时支持 SQL 与 JSON 非结构化数据和大数据的实时分析。
Yotpo,企业服务,平台：WEB,坐标：以色列,官网：www.yotpo.com,成立时间：2011-01,"C轮,2200万,美元,融资完成",立即认领,运营状态：正在运营,,Yotpo是一家来自以色列的创业公司，主要以B2B的形式，通过UGC评论内容的抓取，再通过多渠道传播以帮助企业营销。其主要客户以美国为主，遍及欧洲和以色列。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150616@040209.jpg,http://www.newseed.cn/project/37405,Yotpo,Yotpo 成立于2011年，是一家来自以色列的“评论和观点聚合”服务商，可以聚合来自电子商务、点评网站等关于公司、产品的评论，为企业提供决策参考。
PrecisionHawk,硬件,"平台：WEB,硬件",坐标：美国,官网：precisionhawk.com,成立时间：2010,"C轮,1800万,美元,融资完成",立即认领,运营状态：正在运营,无人机,,,,http://pic2.pedaily.cn/newseed/project/201604/20160421133914851.jpg,http://www.newseed.cn/project/36786,PrecisionHawk,PrecisionHawk原本是一家是一家利用无人机提供空中路径计算及数据评估解决方案的初创企业，成立于 2010年，总部位于北卡罗利市。其由无人机及飞行实时监控与人工智能系统组成的 Lancaste平台搭载了嵌入式的 Linux 操作系统，配置了 WiFi、以太网、蓝牙、USB 等接口，以及可选的视觉、多光谱、热红外、激光雷达等种类丰富的传感器和摄像机等，可以进行各种土地勘测任务，而且还可以实时收集并存储数据，并在事后进行分析，为农业、保险、环境保护等领域的客户提供服务。而现在，它的目标是成为商用无人机领域的顶级数据和安全服务提供商。
Behalf,房产金融,平台：WEB,坐标：纽约,官网：beta.behalf.com,成立时间：不详,"C轮,2700万,美元,融资完成",立即认领,运营状态：正在运营,,Behalf创立于2011年，总部位于纽约，前身为Zazma，致力于为中小型企业提供短期资金支持，帮助他们即时与销售商达成购买协议，金额最高达5万美元，还款方式灵活。,,,http://pic.pedaily.cn/newseed/projectlogo/201506/20150616@030658.jpg,http://www.newseed.cn/project/36668,Behalf,Behalf创立于2011年，总部位于纽约，前身为Zazma，致力于为中小型企业提供短期资金支持，帮助他们即时与销售商达成购买协议，金额最高达5万美元，还款方式灵活。
Tradesy,生活消费,平台：WEB,坐标：美国,官网：www.tradesy.com,成立时间：不详,"C轮,3000万,美元,融资完成",立即认领,运营状态：正在运营,美业/服装,Tradesy成立于2012年，是一家主打二手服装的交易网站，用户可以在线销售或购买二手服装，Tradesy会收取9%的交易佣金，目前拥有130万的用户。,,,http://pic2.pedaily.cn/newseed/project/201605/20160511134153139.jpg,http://www.newseed.cn/project/37798,Tradesy Inc.,Tradesy 成立于2012年，是一家主打二手服装的交易网站，用户可以在线销售或购买二手服装，Tradesy会收取9%的交易佣金，目前拥有 130万的用户。
