上海鹤奔物流有限公司,"上海鹤奔物流有限公司是专业第三方物物流,整车,零担,全国货运."
上海集舜物流有限公司,上海集舜物流有限公司是国内综合性的物流运输企业，总部位于上海。业务范围包括物流方案的设计与咨询，专业从事国内长、短途公路运输、承接整车、零担、集装箱等货物快运业务，提供仓储、货物分拣、区域配送的综合性物流服务。集舜物流为您解除后顾之忧，合理的运价为您带来了更广阔的市场空间。公司现已开通了连接华东、华南、西南、西北、东北、华北等往返线路，形成了系统的操作流程及完善的运输体系，并率先在业界实现传统物流模式与现代电子商务的整合，通过网络平台的优势实现与客户近距离的沟通，将信息已最快的速度反馈给客户，为客户提高更加高效、便捷、人性化的服务。公司在开拓进取、求实创新的企业理念下，追求卓越回报社会的企业精神。以经济繁荣的长江三角洲为依托，面向全国不断创新、以人才、用科技来提高自己。凭借我们出色的服务，得到了诸多国际国内企业的肯定。供应链时代的到来要求我们做好每一个细节，不断的积累经验，以满足不同客户的需求，未来公司将以无比从容自信的步伐向前发展，期待着与您携手共同谱写锦绣前程
上海正广通供应链管理有限公司,"欢迎来到上海正广通供应链管理有限公司网站，我公司位于历史文化悠久，近代城市文化底蕴深厚，历史古迹众多，有“东方巴黎”美称的上海市，联系电话是021-64585938,联系手机是。上海正广通供应链管理有限公司现有员工近300人，通过产品化实现物流的集约化整合，打通正广通平台成员之间的信息流与资金流；让物流服务在线上实现全程可视化，让平台成员之间协同完成的服务结算更便捷，提高了发货客户及消费者的体验；通过资金网上透明化、物流配送中心化、信息系统智能化，让信息流、资金流、物流完全透明。我们是专业从事物流的公司！拥有一支务实，积极，开拓，敬业，团结的年轻化、知识化的专业销售及技术工程师，配以信息化管理系统，好的生产技术，专业的生产团队，好的产品，为您提供更高效、专业的服务。如果您对我公司的产品有兴趣，请在线留言或者来电咨询。"
上海沪诺物流有限公司,上海沪诺物流有限公司是一家专业公路与仓储为一体的物流运输服务商，现拥有2-50吨车辆60余台，可调度车辆近200余台，并配有超过8000平方米的标准型仓库。承接各类商业巡演，巡展，演唱会及整车运和零担运输等物流服务。提供门到门点到点的服务，保价货物货损、货丢按保价赔偿。上海沪诺物流有限公司主要从事国内物流运输.本公司拥有宽大的信息网和先进的INTERNET物流管理系统，运输各种货物和仓储，已建成一支高素质专业化且具有多年物流经验、操作经验的现代化物流团队，可根据客户具体特点，设定策划”个性化”物流方案，并提供全过程全方位全天候的综合物流方案。提供各地区，各类型客户需求的信息交递平台。上海沪诺物流有限公司坚持以“客户为中心”的服务理念.坚持以“安全高效准确即时”为服务目标，逐步实施现代科学物流发展战略，业务以上海为中心，面对珠江三角洲，借助自身货运专线辐射全国，目前已为多家大型零售商.采购商和知名产品制造商提供最优质的物流服务.公司成立至今得到了飞速的发展，客户类型有电子器材.家具.机械.电器.等产品.已承载了多家大型公司的运输业务.其中以飞利浦、山一动工、光明乳业为代表。上海沪诺有限公司拥有自己的专业车队，大吨位车辆30余辆，另有几百部大型合同车，所有的运输车辆及运输司机都经过严格的考查、考核、都制定了统一的运行标准、奖罚制度、及专门管理。并为所有的车辆提供后勤保障服务。公司现有100余名高素质的员工队伍，其中业务人员95%以上受过高等教育，上海沪诺物流有限公司作为物流行业中富有活力的年轻企业，以其独特的企业文化，超前的经营理念，周到的服务方式，求真务实的精神，赢得了众多合作伙伴的一致认可及好评。
上海有限公司,
上海佳玖国际物流有限公司,上海佳玖国际物流有限公司成立于2002年！拥有一批年轻、充满朝气与活力的精通信息化管理的员工队伍。近二十来年的基础：为打造“年轻化、信息化、品牌化”物流服务提供了智力支持，公司一直以科学的管理、专业的规范化服务，运输价位直接为您节省20%—30%的成本、驾驶员队伍，世界领先的GPS卫星智能监控，实时在线轨迹回放信息系统为危险品货物的安全运输提供了保障、良好的企业信誉活跃于我国物流行业之林。是一家现代化仓储、分拣、包装、配送、短驳、长途运输、快运、冷链、化工危险品运输一体的专业第三方物流管理企业，拥有各型自有车辆1120余台(其中冷藏、冷冻车辆200余部、自有各款小中大汽车600余部），可调度车辆300余台，在全国管理着近7万平方米现代化配送及仓储。公司成立以来，致力于为制造及流通领域的知名企业提供整合高效的一体化物流供应链服务，先后在全国主要城市和经济区域都是专线直达：城市如下：浙江、江苏、安徽、广东、福建、河北、辽宁、北京、四川、河南、湖北、湖南、黑龙江山、西安、内蒙古、吉林、广西、天津、江西、陕西、云南、重庆、新疆、贵州、甘肃、海南、宁夏、青海、西藏、等地设立了立体化的营运网络。公司拥有宽大的信息网和先进的INTERNET物流管理系统，已建成一支高素质专业化且具有多年仓储、配送、运输操作及管理经验的现代化物流队伍，可根据客户具体特点，设计策划“个性化”物流方案，并提供全过程全方位全天候的综合物流服务。我们不仅提供各地区、各类型客户需求的物流信息交递平台，而且还提供从生产、销售到市场的信息数据提供及分析服务。公司坚持以“客户为中心”的服务理念、以“安全高效准确及时周到”为服务目标。热线电话：、、021-61536526、60484367曲经理
上海嘉豫物流有限公司,上海嘉豫物流有限公司是上海市道路运输管理处、工商，税务部门审核批准，具有一定规模实力，合法经营资格的汽车公路专业运输的公司，本公司具有独特的管理，一流的服务，全体员工靠拼搏开拓创新；靠薄利开拓市场，我们本着“客户至上，承诺是金的服务态度”“以诚为本，互惠互利”的原则视信誉为生命，一直以安全，快捷，准时到达，热情周到，尽量将客户损失降到最低点，二十四小时热线全程跟踪货物服务，赢得广大新老客户的放心和好评。上海嘉豫物流成立于2005年，总部设在上海市嘉定区宝钱公路3888号新西北物流园区A区11-12档。是一家以公路运输，兼营航空，海运，铁路的全国网络型运输公司。和太平洋保险公司长期合作，保证客户每票货物参加保险。《友好合作单位：“湖南长沙凯天环保科技股份有限公司、杭州凯尔达环保科技有限公司、吉林日昇科技有限公司、上海网格国际贸易有限公司、中铁建工集团有限公司、上海诺地乐通用设备有限公司、上海盈达空调设备有限公司、上海欣帕热敏陶瓷有限公司、上海鹤亭机械涂装厂、上海海鑫洲实业有限公司、上海裕盈铝制品有限公司、上海振欣试剂厂、上海楚峰机电有限公司、上海千速环保科技有限公司》。等几十家客户。提供飞翼车（翼展式箱车特色运输）。本公司自备车辆三十余辆，调动车辆一百多辆，整车零担天天发车，10公里之内免费上面提货，打吨位，大方位免费送货上门。公司开通河南精品专线：郑州、信阳、洛阳、开封、驻马店、南阳及河南全境两天到达郑州快件今发明至。“并代理全国各地货物运输业务”：价格最低，最优惠欢迎各企业，厂商，单位领导来公司实地考察。欢迎来电洽谈业务，只要你一个电话，我们用尽快的速度登门拜访。
上海志珊物流有限公司,"上海志珊物流有限公司专业从事到全国各地物流货运的物流公司.专营上海到全国各地往返货物运输，整车、零担、大件、冷藏运输业务及仓储服务,公司备有各种大、中、小型货车以供调拨，可承接到全国各地整车零担，长短途物流，货运，长途搬家业务。对客户所有货进行全方位监管和应急处理，为顾客提供安全快速的门对门服务及返程运输业务。公司制定了新的创业目标，以“全过程、全系统”为服务的物流运输做体系，已经成为一家非常专业、完善的物流公司，24小时为您提供货物查询、业务咨询、信息反馈，在线订车等服务，您只要有货，无论何时、何地，上海志珊物流就能立即、就地提供免费上门提货，安全、可靠、快速直达的货运服务。当您选择了志珊物流，我们将以最真诚的服务来回赠您对我们的选择，坚持诚信为本、高效、优质、安全的流程化管理和服务。我们将本着“至诚之信、精益求精”的经营理念，以客户为中心，以诚信为准则，以满意为宗旨，与客户携手共进，合作双赢，共创美好的明天！上海志珊物流有限公司欢迎您的来电咨询！"
上海川通物流有限公司,上海川通物流有限公司成立于2002年，主要承接国内陆运，精品专线，整车发运，零担及网点布局。公司现有全进口沃尔沃厢式货车助力，主要以上海至华东区域，成都。重庆为据点打造精品专线往返运输，为客户提供个性化，高效化，精准化体验式服务，体现干线运输大优势，完善客户服务流程体系。
上海盟成货运有限公司,上海至湖南长沙岳阳专线公司自备大小车辆28台，外协车辆30余台，每天往返上海至长沙及湖南各地，另配全封闭集卡及专业危险品车为您服务，独立物流基地、室内装卸、风雨无阻、叉车、卸货平台俱全，极大的提升了公司的专线核心竞争力，物流同行一致公认：速度最快，服务最好，价格最优的上海至湖南第一品牌的称号！盟成全体员工：以万分的辛苦、换您十分的满意。期盼电询！仓库地址：上海嘉定区马陆镇育绿路228号，周边道路有澄浏中路，宝安公路等多条干线直通上海各区域，地理位置优越，且独门独院，门前马路宽阔，大型半挂出入极为方便。
上海简远物流有限公司,"上海简远物流有限公司是一家以国内公路运输、包装仓储主营业务的私营企业，在国内物流业享誉较高的知名度和信誉度。我公司目前主要以上海为疏导中心，辐射全国200余个城市，形成科学高效的物流网络体系，并与全国各大知名物流公司运输公司建立良好的长期合作关系。4）“货源就是生命,服务创造价值”！切实以客户为帝，严格按照客户要求操作，准时、准点、安全将货物送到客户手中。公司员工有着现代化物流运营理念和真诚的工作热情,以最佳的状态喜迎您的到！欢迎广大新老客户来人来电咨询洽谈！客户的满意是我们对您的承诺！为您节省不必要的时间和金钱是我们维星一直以来的服务宗旨，永不止步！愿与您携手共赢。5）发展目标于国际物流企业看齐走星级服务给客户最好的实体服务实现现代化的物流品牌企业宗旨以物为根，铸物流名牌以人为本，创行业一流公司使命，联合全国各地的商业储运公司和其它相关企业推动中国物流业的现代化，振心物流产业运营方式网络运输、全方位服务、全过程跟踪。服务特点运作方式信息网络化；反应能力快捷灵敏化；公司精神团结、创新、忠诚、务实。公司宗旨：以信誉求生存，以速度求发展。VictoriaStar向高速快化学习，打造简远物流专线新品牌是维星人不懈的追求。简远人热忱欢迎社会各界来电、来人实的考察监督、洽谈业务，建立长远的业务合作关系！"
远成快运,主要经营国内快递、航空、零担、物流运输！全国范围覆盖！
日立物流（中国）有限公司,主营三大业务：3PL、FWD、机工。从顾客各个工厂至我公司各个仓库的干线输送＆从各个仓库至全国几百个交货目的地的ＪＩＴ配送。
上海飞定物流有限公司,上海飞定物流有限公司介绍上海飞定物流有限公司创立于2004年，是以国内公路货物运输、快递运输、仓储及超市配送业务为主，航空、铁路运输服务代理、物流咨询于一体的第三方物流企业，专为制造及贸易企业提供物流解决方案。凭借可靠、安全的运营网络、科学的资源整合、先进的管理技术为您提供一站式的物流服务。上海飞定与三星电子集团、金光纸业集团、安全印务、秋雨印刷、交大出版社、九久读书人、云朗玻璃、天龙无菌包装、立邦漆、赛诺化工、合和纸业、施耐德电器、佑弘塑料、上海绳网厂.、欧芬泰化工（上海）有限公司、深圳长帆国际物流、爱欧自动化系统、凌志饼干、百宜食品、秋冬食品、中洋商务、润珍茶叶、奥达科金属制品、正侑机械、宝山钢材市场等企业建立了长期稳定的合作关系。随着中国物流行业的快速发展，面对激烈的市场竞争现状和客户对服务质量的更高要求，从保价运输、仓储、包装装卸、货物跟踪到信息处理乃至整个供应链的整合管理，上海飞定都通过不断改进服务流程和加大引进人才力度，来完成对组织结构的优化、服务流程的完善。公司一如既往地坚持守时遵约、服务至上的服务理念，为客户提供门对门、库对库的运输服务。另公司备有3000平米的标准化仓库，拥有信息化管理平台，为您的货物存储及装卸提供及时、安全的便利。
上海际周物流有限公司,专线上海-苏州，上海-杭州，上海-昆山，上海-全国的零散整车业务
1121,52
上海百禄物流有限公司,"上海百禄物流有限公司{简称：百禄物流Bailuwuliu}是经国家交通、工商、（工商注册号：4483）税务部门注册，签发《道路运输许可证》、《企业经营许可证》、《税务登记证》的综合性物流企业。百禄坐落于美丽的上海滩，中国第一大城市，四大直辖市之一，位于中国大陆海岸线中部的长江口，上海静安区市北工业园区彭浦永和经济城，拥有中国最大的外貌港口和最大的工业基地。从事第三方综合物流及专线物流配送服务企业。百禄物流为了满足国内物流货运市场而建立一家现代化物流运输企业，在全国运输业占有重要的地位。百禄从一家只有两人一台电脑一辆三轮车起步，经过磨难多年发展成为今天的运输网络遍布全国二十六个省市的专业物流集团公司，从事经营公路整车零担快运，铁路、航空货运代理，城市配送，市内短驳以及市内应急快递、仓储、货物包装，信息咨询及物流设计等多项货运物流服务。百禄物流服务行业涵盖化工、冶金、建材、机械、金属、百货、化妆品、食品、制药、汽车零部件等行业。在上海往返东北、华北、西北、华南及华东长三角地区内均有多年成熟的专业运输经验。百禄物流一路领跑只为更好！上海百禄物流有限公司始终坚持以“安全重于泰山，诚信等于生命”的服务原则，坚持以客户为中心，视客户利益为己任的服务理念，创造学习型氛围，不断提高职业安全、快捷、健康环境绩效，茁壮发展自我，追求永续经营，实施现代科学物流发展战略，打造物流供应商第一品牌。百禄物流满足客户需求，特别成立客户服务中心。客服中心拥有网上Gps导航系统，对您的货物实行24小时不间断跟踪服务，客服小姐素质优良，服务到位。免费为您提供各种物流方案咨询,上海百禄物流有限公司真诚希望能够为您提供优质的服务，实现双赢！■发展：营造良好的物流环境，推动物流事业快速前进■客户：与您携手，共创辉煌■品牌：因为专业，所以更完美■市场：我们永远追求的目标■人才：品牌的缔造，源自优秀的您联系电话：021-587786566877865666116260QQ：874555423"
上海志卿物流有限公司,上海志卿物流有限公司是经上海工商行政管理、上海陆管处注册批准成立的一家大型运输企业，总部在上海。自注册成立以来，敝公司全体工作人员一直秉着“信誉第一、诚信至上、安全快捷、价廉及时”服务宗旨，赢得广大顾客的信誉，使公司业绩得以不断扩大、公司实力逐渐壮大；现形成了集运输、仓储、物流配送一条龙服务体系，在华东、华南、西南、西北、东北、湘、鄂、赣等地区建立了长期回程配载货物运输往返专线网点。同时采取现代化管理模式，对所有车辆安装了GPS卫星定位系统，实现了物流全过程的跟踪监控服务，摈弃了传统的运输模式“多关负责”所造成的责任不清的弊端。
上海远珊物流有限公司,上海远珊物流有限公司，诚信所托，使命必达
上海优际物流有限公司,优际物流服务于各个行业，公司致力于不断向客户提供富有创新和满足客户不同需求的服务。为其提供一系列服务包括优先服务、标准服务及定制服务等。坚持“高标准、严要求、视服务为生命”的经营训诫，以市场为导向、运用科学先进的计算机技术以达到国内配送的全程透明化，并使顾客的供应链配置达到最优化。优际公司目前在全国各主要城市设有综合物流配送中心，并通过延伸配送范围，可达全国二三级城市和地区，构筑起完善的物流网络平台。优际公司在物流配送网络建设和资源整合上实现了重大突破。作为一家全国物流服务提供商，我们的任务即是网络联结全国。我们的目标是以具有吸引力的价格，完全科学的运作方式以及社会责任的切实履行为前提，为我们的客户提供最优秀的服务品质。目前优际公司已全面开展信息化的发展，我们相信努力成为一名优秀企业的承诺不论...
上海兰君物流有限公司,上海兰君物流有限公司(021-69986383)自建立以来，立足于市场，不断发展，在激烈的竞争中经历了重重考验，公司制订了新的创业目标，以“全过程、全系统”为服务方针的物流运做体系，已经成为一家非常专业完善的第三方物流公司。公司凭借雄厚的经济实力和科学管理经验，不断提高服务品质，完善服务体系通过实现了规模化的集团经营，在运输行业中脱颖而出，且在客户群中建立了良好的口碑始终坚持以“安全与时效并行，服务与微笑同在”的先进理念不断发展壮大。营业范围涵盖了物流方案的设计与咨询、国内陆运、上海市内物流配送、货物仓储、分拣、包装及其他物流加工增值服务。公司坚持；客户至上、服务第一、安全快捷、全程保险的经营宗旨，在市场竞争中不断锤炼成长，经过多年的发展，公司在物流运输领域树立了良好的品牌，拥有一流的硬件设施和人员队伍，欢迎新老客户与我们联系，我们将为您提供优质、专业、价格适中的货运服务。公司以一贯的服务，及时的信息反馈，准时的到货率，优质高效的运作机制，赢得市场及客户的信任。服务宗旨；信誉第一、品牌经营、互惠双赢、力求完美、客户的满意、客户的无可挑剔，是我们永恒的动力和信念。先做人，后做事，诚信为本。有朋友就是市场，不管是大小单位、不管是新老客户都是我们永远的上帝，我们的目标就是要做就做百年老店胸怀天下。本公司坚持；商以信立、利以义取的严则，另一方面充分考虑到许多企业利润，经济拮据的现状，公司让利于你，坚定执行；守信用、低价格的路线，竭尽所能为您的企业多做贡献，我们仍在不断努力，孜孜不倦地追求更高境界，以答谢广大客户的深情厚爱，共创美好明天。
上海远成物流发展有限公司,远成集团创建于1988年，经过近三十年的拼搏，已发展成为多层次、广覆盖、独具特色的综合物流体系，服务范围涵盖：合同物流、零担快运、冷链物流、供应链金融、物流园区等领域。公司一直秉承“以心传递、畅达天下”的物流星级服务理念，经过一批又一批远成人不畏艰难、顽强奋斗、不断创新，铸就了远成的辉煌，使远成集团跻身于国内最出色的物流企业之列。
上海普汇运输服务有限公司,主营钢材运输仓储服务
上海映辉物流有限公司,卡车航班双向往返主营：上海、嘉兴至深圳、惠州（往返）香港（单程）货物运输，自备全封闭进口（斯担尼亚）集装箱，快件22小时到达（除不可抗拒的因素外），加急件、航空件，客户定价。节假日发车，本公司通过ISO认证，自开票（增值税发票）。卡班：每晚整点发车清晨8点发车普货：3-4天到达全国服务热线：欢迎来电咨询
上海百赞物流有限公司,"上海百赞物流有限公司,是中国最大的物流公司之一.公司主要以物流、货运、运输、托运等多式联运，货物仓储包装，流通加工，配送，信息管理，还为广大客户提供第三方物流方案设计，及物流资源整合的综合性物流服务。备有专人热线，对货物全程监控，24小时为您提供货物查询，业务咨询，信息反馈，监督的服务，实现了诚信、准时、安全、便利的服务目标，赢得了全国广大客户的支持和信赖。百赞货物运输是“老百姓的大品牌”，从不同角度为顾客考虑到每一个细小的环节，做到既最大限度满足顾客需要，又不会让你考虑费用上的负担，为您带来超值服务。公司以“敬职敬业、真诚服务”为服务宗旨，以用户为服务中心，积极探索，不断创新，努力开创物流行业新楷模。随着公司业务扩展，公司不断朝集团化，规模化方向发展。在此真诚期望能结识更多的合作伙伴，相信我们的强强联合将使我们的商路越走越远。欢迎拨打本公司电话，,021-34973201，饶经理"
上海鲁王物流有限公司,"【上海鲁王物流有限公司】是一家多元化物流服务企业，是经国家工商局批准注册企业。本公司总部位于CHINA上海上海市奉贤区、,分公司落户于江西新余市经开区、湖北武汉市开发区、《鲁王物流》由经验丰富的团队组成，业务知识扎实；拥有极强的运输能力，保证了客户货物的安全性、主营：国内外物流【贸易】加工，销售，批发，运输，配货、本公司主要以仓储，货物运输，第三方代理；为一体的物流全方位服务；并且与中国人民保险公司PICC保险紧密合作为客户提供更加安全可靠的保障准确性和及时性。在江浙沪赣鲁湘豫鄂地区拥有一批稳定的客户，如：【加多宝集团】【上海宝钢】【江西鑫杰科技】【江西新钢】【金锂科技】【联想科技】等多家大小型企业；并荣幸成为加多宝饮料公司指定物流企业；主要分布城市：上海至江西全境，湖南，山东，湖北，浙江，河南。（承接全国各地货运）专线（往返）货运服务在各地都有业务往来运营操作，给您带来安全可靠的服务，拥有各类大小型货车（集装箱）、牵引车、吊车，等大件运输多元化物流、全程GPS定位系统，并且每一部货箱使用定位电子锁为您带来即安全又可靠的服务。始终秉承“诚信为本，服务为宗公司秉承以用户需求为核心，坚持“质量到位、服务一流”的经营理念,以为客户创造价值为己任，期待为您服务，敬业为魂”的服务宗旨。为客户创造价值，尽心尽责，为客户提供安全、准确、及时、优质的物流企业。期待与贵司的合作；总经理携全体员工祝您生意兴隆、财源滚滚。"
